trip_id,trajectory,method,seed,distance_km,duration_s,observed_energy_kwh,predicted_energy_kwh,signed_error_kwh,absolute_error_kwh,percentage_error,heldout_trajectory
T3_04_26_2021_2,T3,pinn,0,15.6523166666667,1032.0,1.5179999999999998,1.3241895391295353,-0.1938104608704645,0.1938104608704645,-12.767487540873816,T3
T3_05_25_2021_04,T3,physics,0,32.99230555555521,2516.0,2.9507999999999996,2.314616466229739,-0.6361835337702608,0.6361835337702608,-21.5596968201932,T3
T3_05_25_2021_04,T3,elasticnet,0,32.99230555555521,2516.0,2.9507999999999996,3.248753611783819,0.2979536117838193,0.2979536117838193,10.097384159679386,T3
T3_05_25_2021_04,T3,weak_mlp,0,32.99230555555521,2516.0,2.9507999999999996,2.5989495538009537,-0.35185044619904593,0.35185044619904593,-11.923900169413244,T3
T3_05_25_2021_04,T3,pinn,0,32.99230555555521,2516.0,2.9507999999999996,2.8422501392005426,-0.10854986079945705,0.10854986079945705,-3.6786586959284624,T3
T3_05_25_2021_1,T3,physics,0,13.831272222222232,960.0,1.4280000000000002,0.9020556227276204,-0.5259443772723797,0.5259443772723797,-36.8308387445644,T3
T3_05_25_2021_1,T3,elasticnet,0,13.831272222222232,960.0,1.4280000000000002,2.2974458844490213,0.8694458844490212,0.8694458844490212,60.88556613788663,T3
T3_05_25_2021_1,T3,weak_mlp,0,13.831272222222232,960.0,1.4280000000000002,1.083644940521982,-0.34435505947801825,0.34435505947801825,-24.114499963446658,T3
T3_05_25_2021_1,T3,pinn,0,13.831272222222232,960.0,1.4280000000000002,1.1123471027788603,-0.31565289722113987,0.31565289722113987,-22.104544623329122,T3
T3_05_25_2021_2,T3,physics,0,15.56210000000004,1120.0,1.6536000000000002,1.102647741073931,-0.5509522589260691,0.5509522589260691,-33.31835141062343,T3
T3_05_25_2021_2,T3,elasticnet,0,15.56210000000004,1120.0,1.6536000000000002,2.3859371243879286,0.7323371243879284,0.7323371243879284,44.28744100072135,T3
T3_05_25_2021_2,T3,weak_mlp,0,15.56210000000004,1120.0,1.6536000000000002,1.1563453325298099,-0.4972546674701903,0.4972546674701903,-30.071036978119878,T3
T3_05_25_2021_2,T3,pinn,0,15.56210000000004,1120.0,1.6536000000000002,1.3071874389238656,-0.3464125610761346,0.3464125610761346,-20.94899377577011,T3
T3_05_25_2021_3,T3,physics,0,14.200330555555553,952.0,1.4436000000000002,1.0105396473173667,-0.43306035268263354,0.43306035268263354,-29.998639005447043,T3
T3_05_25_2021_3,T3,elasticnet,0,14.200330555555553,952.0,1.4436000000000002,2.3176370468792147,0.8740370468792145,0.8740370468792145,60.54565301186023,T3
T3_05_25_2021_3,T3,weak_mlp,0,14.200330555555553,952.0,1.4436000000000002,1.0210511444012322,-0.422548855598768,0.422548855598768,-29.27049429196231,T3
T3_05_25_2021_3,T3,pinn,0,14.200330555555553,952.0,1.4436000000000002,1.2007927039860644,-0.2428072960139358,0.2428072960139358,-16.81956885660403,T3
T3_05_31_2021,T3,physics,0,15.702598611111052,1121.0,1.8744,1.1407309491245115,-0.7336690508754886,0.7336690508754886,-39.141541339921496,T3
T3_05_31_2021,T3,elasticnet,0,15.702598611111052,1121.0,1.8744,2.389992955565858,0.5155929555658578,0.5155929555658578,27.507093233347085,T3
T3_05_31_2021,T3,weak_mlp,0,15.702598611111052,1121.0,1.8744,1.160912834207217,-0.713487165792783,0.713487165792783,-38.06482958774984,T3
T3_05_31_2021,T3,pinn,0,15.702598611111052,1121.0,1.8744,1.368309496610115,-0.506090503389885,0.506090503389885,-27.000133556865396,T3
T3_06_07_2021,T3,physics,0,19.71838055555558,1702.0,1.7940000000000003,1.4375299808015236,-0.35647001919847665,0.35647001919847665,-19.870123701141395,T3
T3_06_07_2021,T3,elasticnet,0,19.71838055555558,1702.0,1.7940000000000003,2.5932841200597316,0.7992841200597314,0.7992841200597314,44.5531839498178,T3
T3_06_07_2021,T3,weak_mlp,0,19.71838055555558,1702.0,1.7940000000000003,1.385864330927531,-0.40813566907246934,0.40813566907246934,-22.750037295009438,T3
T3_06_07_2021,T3,pinn,0,19.71838055555558,1702.0,1.7940000000000003,1.6681062314359265,-0.12589376856407375,0.12589376856407375,-7.017489886514701,T3
