trip_id,trajectory,method,seed,distance_km,duration_s,observed_energy_kwh,predicted_energy_kwh,signed_error_kwh,absolute_error_kwh,percentage_error,selected_epoch,final_retrain_epochs,validation_score,power_min,power_max,saturation_fraction,mean_abs_deltaP,max_abs_deltaP,state_mae_pp,dynamics_residual_mean,dynamics_residual_rmse
T3_04_26_2021_2,T3,elasticnet,1,15.6523166666667,1032.0,1.5179999999999998,1.687161093113117,0.1691610931131171,0.1691610931131171,11.143682023262,,,,,,,,,,,
T3_04_26_2021_2,T3,weak_mlp,1,15.6523166666667,1032.0,1.5179999999999998,1.4445994915564857,-0.0734005084435143,0.0734005084435143,-4.83534311222097,57.0,58.0,0.0395817661192268,-1.222353458404541,8.477736473083496,0.0,0.0,0.0,,,
T3_04_26_2021_2,T3,mlp_state,1,15.6523166666667,1032.0,1.5179999999999998,1.388218267361323,-0.1297817326386767,0.1297817326386767,-8.549521254194781,111.0,112.0,0.0384384680073708,-0.6697406768798828,7.252872943878174,0.0,0.0,0.0,3.6985871226928366,-0.0043176990002393,0.1587743908166885
T3_04_26_2021_2,T3,pinn_no_dynamics,1,15.6523166666667,1032.0,1.5179999999999998,1.462710543444587,-0.0552894565554127,0.0552894565554127,-3.6422566900798903,2.0,3.0,0.0458786182571202,-4.075146675109863,24.93365478515625,0.0,1.22370363012297,1.5727665424346924,12.994201121514903,-0.0296934135258197,0.3286572098731994
T3_04_26_2021_2,T3,pinn_fulltrip,1,15.6523166666667,1032.0,1.5179999999999998,1.4488919476833608,-0.0691080523166389,0.0691080523166389,-4.552572616379379,3.0,4.0,0.1764269322156906,-4.225476741790772,25.11598777770996,0.0,1.1437732954108355,1.3516026735305786,11.788364992356373,-0.0276743527501821,0.2158653140068054
T3_04_26_2021_2,T3,pinn,1,15.6523166666667,1032.0,1.5179999999999998,1.4746525353881428,-0.043347464611857,0.043347464611857,-2.8555642036796454,2.0,3.0,0.0457005314528942,-4.178733348846436,25.27915573120117,0.0,1.2438829199861534,1.5918419361114502,12.236102887003144,-0.0284033790230751,0.2245024591684341
T3_05_25_2021_04,T3,constant,1,32.99230555555521,2516.0,2.9508,2.9177177855273717,-0.0330822144726283,0.0330822144726283,-1.1211269646410595,,,,,,,,,,,
T3_05_25_2021_04,T3,physics,1,32.99230555555521,2516.0,2.9508,2.314616466229739,-0.6361835337702608,0.6361835337702608,-21.5596968201932,,,,,,,,,,,
T3_05_25_2021_04,T3,elasticnet,1,32.99230555555521,2516.0,2.9508,2.6955316437019103,-0.2552683562980893,0.2552683562980893,-8.650818635559487,,,,,,,,,,,
T3_05_25_2021_04,T3,weak_mlp,1,32.99230555555521,2516.0,2.9508,3.611096353630225,0.6602963536302253,0.6602963536302253,22.3768589409728,20.0,21.0,0.0642306515946984,0.0969400405883789,7.3267717361450195,0.0,0.0,0.0,,,
T3_05_25_2021_04,T3,mlp_state,1,32.99230555555521,2516.0,2.9508,3.57793358243174,0.6271335824317403,0.6271335824317403,21.25300198019996,27.0,28.0,0.063026045449078,-1.186941146850586,7.93238353729248,0.0,0.0,0.0,6.178827760807805,-0.0131339877843856,0.5706255435943604
T3_05_25_2021_04,T3,pinn_no_dynamics,1,32.99230555555521,2516.0,2.9508,3.2754390827017943,0.3246390827017946,0.3246390827017946,11.001731147546248,3.0,4.0,0.0516832998255267,-5.144652366638184,17.81674575805664,0.0,1.4467962784240305,1.9282777309417725,17.733493495201564,-0.0216669607907533,0.5884772539138794
T3_05_25_2021_04,T3,pinn_fulltrip,1,32.99230555555521,2516.0,2.9508,2.944952206371559,-0.0058477936284404,0.0058477936284404,-0.198176549696369,1.0,2.0,0.2175085544586181,-6.06127405166626,16.944766998291016,0.0,0.9018833549618483,1.0861300230026243,23.1922819028774,-0.0194132719188928,0.0498558431863784
T3_05_25_2021_04,T3,pinn,1,32.99230555555521,2516.0,2.9508,3.3352814387219647,0.384481438721965,0.384481438721965,13.02973562159296,3.0,4.0,0.0521380007266998,-5.3568878173828125,17.78434181213379,0.0,1.4622117726831227,1.979871392250061,19.3186431147212,-0.0219702385365962,0.2134010195732116
T3_05_25_2021_1,T3,constant,1,13.831272222222232,960.0,1.4280000000000002,1.2183895160069755,-0.2096104839930246,0.2096104839930246,-14.67860532164038,,,,,,,,,,,
T3_05_25_2021_1,T3,physics,1,13.831272222222232,960.0,1.4280000000000002,0.9020556227276204,-0.5259443772723797,0.5259443772723797,-36.8308387445644,,,,,,,,,,,
